ID	Target	Tweet	Stance
7	Are E-Cigarettes safe?	As of 2015, the short and long term effects from using e-cigarettes remain unclear.	NONE
198	Are E-Cigarettes safe?	Researchers found that 75% of tested e-cigarette samples contained diacetyl, which when inhaled has been linked to the respiratory disease bronchiolitis obliterans.	AGAINST
19	Are E-Cigarettes safe?	Since e-cigarettes are intended to be used repeatedly, they can conveniently be used for an extended period of time, which may contribute to increased adverse effects.	AGAINST
175	Are E-Cigarettes safe?	The authors of a letter in this week�s NEJM project that the associated incremental lifetime risk of cancer could be higher than that from long-term smoking.	AGAINST
366	Are E-Cigarettes safe?	Since they landed on the market in 2004, e-cigarettes  have been dogged by controversy.	NONE
337	Are E-Cigarettes safe?	Because some research has suggested that the levels of most toxicants in vapor are lower than the levels in smoke, e-cigarettes have been deemed to be safer than regular cigarettes.	FAVOR
304	Are E-Cigarettes safe?	Again, however, there are no long term epidemiological or observational data in actual humans using e-cigarettes.	FAVOR
193	Are E-Cigarettes safe?	 E-cigarettes also contain 'cancer-causing chemicals such as formaldehyde.	AGAINST
168	Are E-Cigarettes safe?	Non-daily use of e-cigarettes while smoking does not appear to be associated with cessation attempts, cessation or reduced smoking.	NONE
109	Are E-Cigarettes safe?	When used at low voltage, e-cigarettes did not create any formaldehyde-releasing agents, the researchers found.	NONE
373	Are E-Cigarettes safe?	The safety of electronic cigarettes is uncertain.	AGAINST
196	Are E-Cigarettes safe?	Unlike traditional cigarettes, the devices are not regulated by US authorities, leading to concern among some experts that they may be harmful to health.	AGAINST
148	Are E-Cigarettes safe?	The findings showed that the formaldehyde-releasing agents were not present at low voltages, but high-voltage use released a dangerous amount of these agents.	AGAINST
157	Are E-Cigarettes safe?	Now a new study suggests that e-cigarettes may pose significant harm to vapers, having found that more than 75 percent of the e-cigarette varieties tested contained diacetyl � a flavouring chemical that's previously been linked to the severe respiratory disease, bronchiolitis obliterans.	AGAINST
83	Are E-Cigarettes safe?	Concerns exist that e-cigarette user exposure to toxic levels of nicotine may be harmful.	AGAINST
355	Are E-Cigarettes safe?	But now a new study suggests that the �healthier� electronic cigarette alternative may not be as harmless for you after all.	AGAINST
155	Are E-Cigarettes safe?	In 45 of 50 states, e-cigarette use is not strictly outlawed at smoke-free venues, but in many areas there is a movement to change that.	NONE
74	Are E-Cigarettes safe?	A 2014 review found higher levels of carcinogens and toxins than in an FDA-approved nicotine inhaler, suggesting that FDA-approved devices may deliver nicotine more safely.	FAVOR
250	Are E-Cigarettes safe?	About 67 percent of the 128 physicians surveyed indicated e-cigarettes are a helpful aid for smoking cessation, 65 percent believe e-cigs represent a lower risk of cancer than traditional cigarettes, and 35 percent recommended them to their patients.	FAVOR
119	Are E-Cigarettes safe?	It�s not enough that regular cigarettes pose various health risks, but it looks like e-cigarettes may also raise some significant health concerns, according to a new study.	AGAINST
208	Are E-Cigarettes safe?	Since their introduction to the U.S. market in 2007, e-cigarettes have prompted debate as to their risk in general and relative to cigarettes.	AGAINST
218	Are E-Cigarettes safe?	Cigarette smoke contains 1014 free radicals per puff.	NONE
152	Are E-Cigarettes safe?	The number of teens and tweens using e-cigarettes has grown dramatically, with some now calling it the �gateway� drug of choice that leads to more addictive behaviors.	AGAINST
176	Are E-Cigarettes safe?	research suggests that vaping may not be as safe as smokers think, 	AGAINST
340	Are E-Cigarettes safe?	And many health experts believe that because so little research has been done on e-cigarettes, they may pose unknown risks.	AGAINST
318	Are E-Cigarettes safe?	E-cigs also make it a lot easier for current smokers to stop smoking, as it provides a similar experience to smoking.	FAVOR
36	Are E-Cigarettes safe?	Better product design and standards could probably be reduce the risks.	NONE
139	Are E-Cigarettes safe?	Researchers found that e-cigarettes produce high levels of highly reactive harmful free radicals that fall in the range of 1,000- to 100-times less than levels in regular cigarettes.	AGAINST
302	Are E-Cigarettes safe?	A recent review concluded that the vapors are likely safe, but did so based on primarily on a review of chemical analyses of e-cigarette vapor.	FAVOR
364	Are E-Cigarettes safe?	A previous study suggests�when an e-cigarette voltage is increased from 3.2V to 4.8V it produces almost as much formaldehyde as a regular cigarette, and formaldehyde is a carcinogenic substance.	AGAINST
210	Are E-Cigarettes safe?	E-cigarettes contain less nicotine than cigarettes, but actual nicotine intake by e-cigarette users can approximate that of cigarette smokers.	AGAINST
211	Are E-Cigarettes safe?	Previous analyses of e-cigarette vapor have identified chemicals that could be toxic or carcinogenic, including particulates, formaldehyde, and volatile organic compounds, but at lower levels than cigarette smoke.	FAVOR
59	Are E-Cigarettes safe?	Leaked nicotine is a poisoning hazard for the user of electronic cigarettes, as well as others around them, particularly children.	AGAINST
111	Are E-Cigarettes safe?	E-cigarettes are electronic devices that are thought to be less harmful to smokers than regular cigarettes.	FAVOR
177	Are E-Cigarettes safe?	Study of mice finds that e-cigarettes generate free radical toxins and may harm the lungs and immune system 	AGAINST
331	Are E-Cigarettes safe?	Electronic or e-cigarettes, increasingly popular in recent years, are plastic or metal tubes slightly larger than traditional cigarettes.	NONE
6	Are E-Cigarettes safe?	A 2013 review found, from limited data that safety risk of e-cigarettes is similar to that of smokeless tobacco.	AGAINST
298	Are E-Cigarettes safe?	Particularly lacking are long-term studies of e-cigarette use, obviously because they�ve only been on the market for less than a decade and only skyrocketed in popularity beginning around five years ago.	NONE
284	Are E-Cigarettes safe?	However, a team of American researchers reported later that e-cigarettes cannot help stop smoking, on the other hand, can turn youngsters into�dual smokers, making them smoke more nicotine.	NONE
158	Are E-Cigarettes safe?	a study released the Centers for Disease Control and Prevention (CDC) found that about 21% of adults who smoke traditional cigarettes had used e-cigarettes in 2011, compared with about 10 percent in 2010.	NONE
150	Are E-Cigarettes safe?	As our study shows, e-cigarettes contain flavoring chemicals that can cause lung damage	AGAINST
10	Are E-Cigarettes safe?	The adverse effects of e-cigarettes on people with cancer is unknown.	NONE
246	Are E-Cigarettes safe?	While some argue that vapor offers health advantages over traditional cigarette smoke, regulatory agencies and some health experts aren't so sure that's true.	AGAINST
103	Are E-Cigarettes safe?	"The UK Action on Smoking and Health found that in 2015, compared to the year before, ""there has been a growing false belief that electronic cigarettes could be as harmful as smoking""."	AGAINST
81	Are E-Cigarettes safe?	There are safety issues with the nicotine exposure from e-cigarettes, which may cause addiction and other adverse effects.	AGAINST
220	Are E-Cigarettes safe?	Sales of electronic cigarettes have risen dramatically in recent years.	NONE
393	Are E-Cigarettes safe?	The 2015 Public Health England report looking at the research concluded that by applying maximum power and increasing the time the device is used on a puffing machine, e-liquids can thermally degrade and produce high levels of formaldehyde, a carcinogenic substance.	AGAINST
167	Are E-Cigarettes safe?	Daily use of e-cigarettes while smoking appears to be associated with subsequent increases in rates of attempting to stop smoking and reducing smoking, but not with smoking cessation.	NONE
387	Are E-Cigarettes safe?	There is a small risk of battery explosion in e-cigarette devices modified to increase battery power.	AGAINST
222	Are E-Cigarettes safe?	The Food and Drug Administration is expected to propose regulations for e-cigarettes by the end of this month.	NONE
228	Are E-Cigarettes safe?	That difference is crucial for smokers contemplating a switch to vaping, because it means they can avoid the myriad toxins and carcinogens generated by tobacco combustion, thereby dramatically reducing the health hazards they face.	FAVOR
180	Are E-Cigarettes safe?	Study shows, e-cigarettes won't help you quit smoking.	NONE
283	Are E-Cigarettes safe?	A group of experts attending the E-Cigarette Summit at the Royal Society in London, last month claimed that switching from traditional to electronic cigarettes could�help reduce smoking-related deaths�across the world.	FAVOR
89	Are E-Cigarettes safe?	The e-cigarette device itself could contribute to the toxicity from the tiny amounts of silicate and heavy metals found in the liquid and vapor, because they have a metal parts that come in contact with the e-liquid.	AGAINST
351	Are E-Cigarettes safe?	 While the health consequences of long-term e-cigarette use are still unknown, evidence to date suggests there are few if any health consequences.	FAVOR
163	Are E-Cigarettes safe?	A Harvard study claiming most e-cigarette brands expose users to harmful chemicals omits critical information and exaggerates the risks of flavored e-cigarettes, according to tobacco control experts.	FAVOR
147	Are E-Cigarettes safe?	Earlier this year, the research showed that e-cigarette users were anywhere between five and 15 times more likely to contract formaldehyde-related cancer than regular cigarette smokers.	AGAINST
245	Are E-Cigarettes safe?	Many are similar enough in appearance to be mistaken for regular tobacco cigarettes.	NONE
92	Are E-Cigarettes safe?	A 2014 review stated that there are concerns about pregnant women exposure to e-cigarette vapor through direct use or via exhaled vapor.	AGAINST
69	Are E-Cigarettes safe?	"In October 2012, the World Medical Association stated, ""Manufacturers and marketers of e-cigarettes often claim that use of their products is a safe alternative to smoking, particularly since they do not produce carcinogenic smoke."""	FAVOR
123	Are E-Cigarettes safe?	The study says that while diacetyl is safe when ingested as a component of foods and spirits, it can be hazardous when inhaled over an extended period, according to the United States National Institute of Occupational Safety and Health.	AGAINST
96	Are E-Cigarettes safe?	Prenatal exposure has been associated with obesity, diabetes, high cholesterol and high blood pressure in minors.	AGAINST
